Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disoder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$2,700",0.66%,"$1,110.27","$2,649.25",$40.83,0.038,$1.02,0.001,$126.10,0.778,$62.23,0.42,$18.85,0.204,$8.15,0.021,$0.20,0.002,$10.14,0.249,$49.89,1.014,$46.42,1.98,$52.28,0.417,$28.84,0.282,$3.88,0.037,$19.56,0.1,$0.00,0,$79.81,1.035,0.003,0,$91.60,3.902,$42.86,0.497,$3.77,0.027,$0.11,0.002,$0.75,0.013,$18.10,0.192,$1.86,0.003,$6.29,0.018,$0.06,0.001,$0.14,0.002,$1.44,0.022,$8.70,0.227,$10.59,0.228,$35.82,1.753,$6.63,0.238,$73.18,0.796,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$60.24,0.4,$27.40,0.19,$12.52,0.09,$5.97,0.05,$2.91,0.02,$1.43,0.01,$0.72,0.01,$0.38,0,$0.22,0,$0.12,0
"$2,800",0.60%,"$1,133.75","$2,749.47",$43.69,0.04,$1.08,0.001,$127.66,0.788,$63.70,0.429,$19.48,0.211,$8.68,0.022,$0.21,0.002,$10.53,0.258,$51.31,1.028,$47.50,2.012,$53.58,0.426,$29.48,0.288,$3.98,0.038,$20.12,0.1,$0.00,0,$81.47,1.051,0.003,0,$93.49,3.953,$44.48,0.505,$4.01,0.028,$0.12,0.002,$0.77,0.013,$18.71,0.198,$2.10,0.003,$6.58,0.019,$0.06,0.001,$0.15,0.002,$1.52,0.023,$9.01,0.235,$10.89,0.233,$36.61,1.779,$7.11,0.245,$74.36,0.807,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$61.37,0.41,$28.12,0.2,$12.95,0.1,$6.23,0.05,$3.06,0.02,$1.52,0.01,$0.77,0.01,$0.41,0,$0.23,0,$0.13,0
"$2,900",0.57%,"$1,156.66","$2,849.72",$46.16,0.041,$1.17,0.001,$129.01,0.796,$65.01,0.439,$20.16,0.218,$9.21,0.023,$0.23,0.003,$11.01,0.268,$52.94,1.04,$48.43,2.039,$54.86,0.434,$30.11,0.294,$4.06,0.038,$20.69,0.1,$0.00,0,$83.24,1.069,0.003,0,$95.28,4.004,$46.44,0.513,$4.11,0.028,$0.14,0.003,$0.80,0.013,$19.36,0.204,$2.30,0.004,$6.91,0.02,$0.06,0.001,$0.17,0.002,$1.65,0.025,$9.36,0.243,$11.18,0.238,$37.25,1.802,$7.65,0.251,$75.60,0.818,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$62.33,0.41,$28.73,0.2,$13.34,0.1,$6.47,0.05,$3.21,0.03,$1.61,0.01,$0.83,0.01,$0.45,0,$0.26,0,$0.14,0
"$3,000",0.55%,"$1,179.00","$2,949.56",$48.65,0.043,$1.24,0.001,$130.40,0.804,$66.44,0.448,$20.90,0.225,$9.66,0.024,$0.24,0.003,$11.45,0.277,$54.36,1.052,$49.64,2.077,$56.22,0.443,$30.74,0.299,$4.19,0.039,$21.29,0.1,$0.00,0,$85.02,1.089,0.003,0,$97.17,4.051,$47.99,0.518,$4.26,0.029,$0.15,0.003,$0.82,0.014,$20.07,0.211,$2.49,0.004,$7.18,0.02,$0.07,0.001,$0.17,0.002,$1.72,0.026,$9.72,0.251,$11.48,0.243,$38.16,1.834,$8.20,0.258,$76.82,0.831,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$63.31,0.42,$29.35,0.21,$13.72,0.1,$6.70,0.05,$3.36,0.03,$1.71,0.01,$0.89,0.01,$0.49,0,$0.28,0,$0.15,0
"$3,100",0.55%,"$1,200.80","$3,050.36",$51.52,0.044,$1.29,0.001,$131.64,0.811,$67.86,0.457,$21.49,0.23,$10.17,0.025,$0.25,0.003,$11.90,0.288,$55.91,1.065,$50.68,2.106,$57.53,0.452,$31.32,0.305,$4.26,0.04,$21.95,0.11,$0.00,0,$86.73,1.106,0.003,0,$99.08,4.104,$49.81,0.525,$4.53,0.03,$0.15,0.003,$0.85,0.014,$20.64,0.216,$2.67,0.004,$7.50,0.021,$0.07,0.001,$0.19,0.002,$1.81,0.026,$10.09,0.261,$11.78,0.248,$38.90,1.858,$8.71,0.264,$78.03,0.841,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$64.18,0.42,$29.90,0.21,$14.03,0.1,$6.88,0.05,$3.47,0.03,$1.78,0.02,$0.93,0.01,$0.51,0.01,$0.29,0,$0.16,0
"$3,200",0.51%,"$1,222.07","$3,149.86",$54.26,0.046,$1.37,0.001,$132.90,0.819,$69.20,0.466,$22.16,0.236,$10.70,0.026,$0.26,0.003,$12.36,0.297,$57.42,1.076,$51.58,2.132,$58.65,0.459,$31.82,0.31,$4.35,0.04,$22.48,0.11,$0.01,0,$88.36,1.12,0.003,0,$101.00,4.151,$51.29,0.531,$4.70,0.031,$0.15,0.003,$0.87,0.014,$21.29,0.222,$2.89,0.004,$7.81,0.022,$0.07,0.001,$0.19,0.002,$1.90,0.027,$10.45,0.27,$12.05,0.253,$39.53,1.879,$9.31,0.271,$79.05,0.849,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$65.10,0.43,$30.50,0.21,$14.41,0.11,$7.11,0.05,$3.60,0.03,$1.87,0.02,$0.99,0.01,$0.56,0.01,$0.32,0,$0.18,0
"$3,300",0.48%,"$1,242.85","$3,249.32",$56.93,0.047,$1.46,0.001,$133.96,0.826,$70.60,0.475,$22.75,0.242,$11.23,0.027,$0.28,0.003,$12.78,0.306,$58.79,1.086,$52.51,2.158,$59.81,0.467,$32.34,0.315,$4.43,0.041,$23.05,0.11,$0.01,0,$90.01,1.137,0.003,0,$102.69,4.199,$53.02,0.538,$4.84,0.032,$0.15,0.003,$0.90,0.015,$21.86,0.227,$3.13,0.004,$8.10,0.022,$0.07,0.001,$0.21,0.002,$2.00,0.029,$10.78,0.278,$12.41,0.26,$40.10,1.897,$9.83,0.278,$80.18,0.86,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$65.88,0.44,$30.98,0.22,$14.69,0.11,$7.27,0.06,$3.69,0.03,$1.92,0.02,$1.03,0.01,$0.58,0.01,$0.34,0,$0.19,0
"$3,400",0.46%,"$1,263.15","$3,348.46",$59.65,0.049,$1.57,0.001,$135.17,0.833,$71.88,0.483,$23.38,0.248,$11.72,0.028,$0.29,0.003,$13.18,0.314,$60.15,1.097,$53.29,2.184,$61.03,0.474,$32.94,0.32,$4.50,0.041,$23.59,0.11,$0.01,0,$91.70,1.154,0.003,0,$104.24,4.24,$54.58,0.543,$5.10,0.032,$0.15,0.003,$0.92,0.015,$22.46,0.232,$3.32,0.005,$8.40,0.023,$0.07,0.001,$0.21,0.003,$2.10,0.03,$11.08,0.284,$12.69,0.266,$40.61,1.917,$10.39,0.284,$81.31,0.87,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$66.77,0.44,$31.60,0.22,$15.09,0.11,$7.53,0.06,$3.86,0.03,$2.03,0.02,$1.09,0.01,$0.62,0.01,$0.36,0,$0.20,0
"$3,500",0.42%,"$1,283.01","$3,449.27",$61.98,0.05,$1.65,0.001,$136.23,0.839,$73.28,0.492,$24.05,0.254,$12.26,0.029,$0.31,0.003,$13.58,0.324,$61.29,1.107,$54.20,2.209,$62.13,0.481,$33.44,0.324,$4.57,0.042,$24.11,0.12,$0.01,0,$93.18,1.167,0.003,0,$105.60,4.276,$56.28,0.55,$5.24,0.033,$0.16,0.003,$0.94,0.016,$23.12,0.238,$3.52,0.005,$8.74,0.024,$0.07,0.001,$0.24,0.003,$2.18,0.031,$11.40,0.293,$13.03,0.271,$41.17,1.937,$10.78,0.289,$82.40,0.878,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$67.50,0.45,$32.05,0.22,$15.38,0.11,$7.71,0.06,$3.98,0.03,$2.10,0.02,$1.14,0.01,$0.66,0.01,$0.39,0,$0.22,0
"$3,600",0.43%,"$1,302.44","$3,549.22",$64.97,0.052,$1.82,0.001,$137.30,0.845,$74.64,0.5,$24.62,0.264,$12.74,0.03,$0.32,0.004,$13.99,0.332,$62.51,1.116,$54.97,2.23,$63.47,0.489,$33.98,0.329,$4.66,0.042,$24.82,0.12,$0.01,0,$94.81,1.182,0.004,0,$106.76,4.31,$57.86,0.555,$5.49,0.033,$0.16,0.003,$0.98,0.016,$23.64,0.248,$3.71,0.005,$9.03,0.025,$0.07,0.001,$0.25,0.003,$2.29,0.032,$11.70,0.299,$13.32,0.275,$41.66,1.954,$11.32,0.296,$83.49,0.886,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,$68.29,0.45,$32.60,0.23,$15.72,0.11,$7.93,0.06,$4.12,0.03,$2.19,0.02,$1.20,0.01,$0.69,0.01,$0.42,0,$0.24,0
"$3,700",0.40%,"$1,321.46","$3,648.94",$67.45,0.053,$1.90,0.001,$138.29,0.851,$75.80,0.508,$25.03,0.268,$13.31,0.031,$0.33,0.004,$14.32,0.339,$63.82,1.125,$55.87,2.254,$64.30,0.495,$34.40,0.334,$4.72,0.043,$25.18,0.12,$0.01,0,$96.53,1.195,0.004,0,$108.47,4.347,$59.46,0.561,$5.69,0.034,$0.17,0.003,$1.02,0.016,$24.02,0.251,$4.02,0.005,$9.29,0.025,$0.07,0.001,$0.26,0.003,$2.39,0.034,$11.94,0.305,$13.63,0.282,$42.24,1.973,$11.98,0.301,$84.54,0.894,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,$69.03,0.45,$33.10,0.23,$16.05,0.12,$8.14,0.06,$4.26,0.03,$2.29,0.02,$1.27,0.01,$0.74,0.01,$0.45,0,$0.27,0
"$3,800",0.37%,"$1,340.09","$3,751.36",$69.80,0.054,$2.07,0.001,$139.24,0.857,$76.91,0.515,$25.59,0.272,$13.75,0.032,$0.35,0.004,$14.69,0.346,$65.06,1.133,$56.68,2.275,$65.24,0.5,$34.85,0.337,$4.76,0.043,$25.62,0.12,$0.01,0,$98.06,1.208,0.004,0,$109.84,4.381,$61.00,0.566,$5.88,0.034,$0.18,0.003,$1.04,0.017,$24.55,0.255,$4.22,0.006,$9.53,0.026,$0.07,0.001,$0.28,0.003,$2.49,0.035,$12.20,0.311,$13.93,0.286,$42.75,1.989,$12.52,0.306,$85.54,0.902,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,$69.74,0.46,$33.59,0.23,$16.37,0.12,$8.35,0.06,$4.40,0.03,$2.37,0.02,$1.32,0.01,$0.76,0.01,$0.46,0,$0.27,0
"$3,900",0.38%,"$1,358.35","$3,850.06",$71.90,0.055,$2.16,0.001,$140.40,0.864,$78.27,0.523,$26.19,0.277,$14.38,0.033,$0.35,0.004,$15.08,0.353,$66.57,1.142,$57.51,2.297,$66.30,0.507,$35.23,0.341,$4.83,0.044,$26.24,0.12,$0.01,0,$99.55,1.221,0.004,0,$111.18,4.414,$62.50,0.572,$6.05,0.035,$0.18,0.003,$1.06,0.017,$25.13,0.26,$4.57,0.006,$9.81,0.027,$0.07,0.001,$0.28,0.003,$2.61,0.036,$12.48,0.317,$14.21,0.29,$43.30,2.006,$13.11,0.312,$86.44,0.909,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,$70.63,0.46,$34.22,0.24,$16.81,0.12,$8.64,0.07,$4.59,0.04,$2.50,0.02,$1.40,0.01,$0.81,0.01,$0.49,0.01,$0.29,0
"$4,000",0.34%,"$1,376.24","$3,949.60",$74.13,0.056,$2.27,0.001,$141.22,0.869,$79.22,0.53,$26.80,0.283,$14.96,0.034,$0.36,0.004,$15.56,0.363,$67.63,1.149,$58.20,2.315,$67.07,0.512,$35.61,0.344,$4.88,0.044,$26.58,0.12,$0.01,0,$101.16,1.232,0.004,0,$112.50,4.45,$63.99,0.576,$6.21,0.036,$0.19,0.003,$1.10,0.018,$25.70,0.265,$4.85,0.006,$10.12,0.027,$0.07,0.001,$0.28,0.003,$2.73,0.038,$12.83,0.326,$14.40,0.293,$43.80,2.022,$13.79,0.317,$87.36,0.915,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,$71.23,0.47,$34.64,0.24,$17.08,0.12,$8.82,0.07,$4.71,0.04,$2.58,0.02,$1.45,0.01,$0.85,0.01,$0.51,0.01,$0.30,0
"$4,100",0.32%,"$1,393.81","$4,049.70",$76.42,0.057,$2.35,0.001,$141.93,0.873,$80.32,0.536,$27.21,0.286,$15.57,0.034,$0.36,0.004,$15.92,0.371,$68.58,1.156,$58.87,2.333,$68.17,0.517,$36.00,0.348,$4.94,0.044,$27.23,0.13,$0.01,0,$102.59,1.244,0.004,0,$113.83,4.479,$65.26,0.58,$6.45,0.037,$0.20,0.003,$1.17,0.018,$26.04,0.268,$5.20,0.006,$10.37,0.028,$0.08,0.001,$0.28,0.003,$2.81,0.039,$13.12,0.332,$14.66,0.297,$44.21,2.036,$14.32,0.322,$88.26,0.922,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,$71.74,0.47,$34.97,0.24,$17.29,0.13,$8.95,0.07,$4.79,0.04,$2.63,0.02,$1.48,0.01,$0.86,0.01,$0.52,0.01,$0.31,0
"$4,200",0.30%,"$1,411.07","$4,149.98",$78.47,0.058,$2.56,0.001,$142.61,0.877,$81.37,0.542,$27.73,0.291,$15.97,0.035,$0.37,0.004,$16.31,0.38,$69.70,1.163,$59.59,2.349,$68.95,0.522,$36.30,0.351,$5.00,0.045,$27.65,0.13,$0.01,0,$103.95,1.256,0.004,0,$114.76,4.506,$66.87,0.586,$6.65,0.037,$0.20,0.003,$1.19,0.018,$26.54,0.272,$5.36,0.007,$10.61,0.029,$0.08,0.001,$0.29,0.003,$2.86,0.04,$13.45,0.34,$14.96,0.3,$44.63,2.048,$14.93,0.328,$89.02,0.928,0.001,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,$72.24,0.48,$35.29,0.24,$17.49,0.13,$9.07,0.07,$4.87,0.04,$2.67,0.02,$1.51,0.01,$0.88,0.01,$0.53,0.01,$0.32,0
"$4,300",0.30%,"$1,428.02","$4,250.06",$80.75,0.059,$2.67,0.001,$143.39,0.882,$82.24,0.548,$28.51,0.298,$16.51,0.036,$0.39,0.004,$16.62,0.386,$70.78,1.169,$60.26,2.366,$69.75,0.527,$36.69,0.354,$5.05,0.045,$28.02,0.13,$0.01,0,$105.37,1.267,0.004,0,$115.89,4.534,$68.33,0.59,$6.84,0.038,$0.20,0.003,$1.21,0.019,$27.30,0.279,$5.58,0.007,$10.94,0.029,$0.08,0.001,$0.30,0.003,$2.93,0.04,$13.68,0.346,$15.17,0.304,$45.08,2.063,$15.60,0.333,$89.77,0.934,0.001,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,$72.83,0.48,$35.72,0.25,$17.79,0.13,$9.29,0.07,$5.02,0.04,$2.79,0.02,$1.60,0.01,$0.95,0.01,$0.59,0.01,$0.36,0
"$4,400",0.29%,"$1,444.68","$4,348.99",$82.93,0.06,$2.82,0.001,$144.08,0.886,$83.23,0.554,$28.95,0.301,$16.94,0.037,$0.41,0.005,$17.12,0.397,$71.83,1.176,$60.97,2.383,$70.58,0.532,$37.05,0.358,$5.10,0.045,$28.42,0.13,$0.01,0,$106.89,1.279,0.004,0,$117.01,4.559,$69.65,0.595,$6.96,0.038,$0.20,0.003,$1.24,0.019,$27.71,0.282,$5.77,0.007,$11.17,0.03,$0.09,0.001,$0.32,0.004,$3.03,0.042,$14.09,0.355,$15.47,0.308,$45.50,2.075,$16.22,0.338,$90.67,0.94,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,$73.34,0.48,$36.08,0.25,$18.02,0.13,$9.44,0.07,$5.12,0.04,$2.86,0.02,$1.64,0.01,$0.98,0.01,$0.60,0.01,$0.37,0
"$4,500",0.27%,"$1,461.06","$4,452.06",$85.11,0.061,$2.92,0.001,$144.72,0.89,$84.05,0.559,$29.55,0.307,$17.38,0.038,$0.43,0.005,$17.53,0.405,$72.64,1.181,$61.54,2.398,$71.22,0.536,$37.36,0.36,$5.15,0.046,$28.71,0.13,$0.01,0,$108.56,1.291,0.005,0,$118.09,4.585,$71.26,0.6,$7.07,0.039,$0.21,0.003,$1.28,0.02,$28.27,0.287,$5.97,0.007,$11.41,0.031,$0.09,0.001,$0.34,0.004,$3.11,0.043,$14.41,0.362,$15.66,0.311,$45.88,2.087,$16.94,0.343,$91.62,0.947,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,$73.81,0.48,$36.41,0.25,$18.24,0.13,$9.58,0.07,$5.21,0.04,$2.92,0.02,$1.68,0.01,$1.01,0.01,$0.62,0.01,$0.38,0
"$4,600",0.26%,"$1,477.17","$4,549.59",$87.18,0.061,$3.03,0.001,$145.36,0.893,$84.93,0.565,$29.97,0.311,$17.78,0.038,$0.45,0.005,$17.74,0.409,$73.64,1.187,$62.13,2.413,$71.98,0.541,$37.69,0.363,$5.22,0.046,$29.07,0.13,$0.01,0,$110.20,1.304,0.005,0,$119.02,4.609,$72.63,0.604,$7.20,0.039,$0.21,0.003,$1.31,0.02,$28.66,0.29,$6.14,0.007,$11.64,0.031,$0.10,0.001,$0.35,0.004,$3.16,0.043,$14.58,0.366,$15.88,0.314,$46.25,2.1,$17.86,0.351,$92.34,0.953,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,$74.29,0.49,$36.70,0.25,$18.41,0.13,$9.68,0.07,$5.27,0.04,$2.95,0.02,$1.70,0.01,$1.02,0.01,$0.63,0.01,$0.39,0
"$4,700",0.26%,"$1,493.03","$4,649.83",$89.42,0.062,$3.21,0.002,$145.93,0.897,$85.78,0.571,$30.28,0.313,$18.26,0.039,$0.46,0.005,$18.25,0.42,$74.67,1.193,$62.81,2.43,$72.54,0.544,$37.95,0.365,$5.25,0.047,$29.34,0.13,$0.01,0,$111.54,1.314,0.005,0,$120.15,4.634,$74.21,0.609,$7.47,0.04,$0.21,0.003,$1.32,0.021,$28.96,0.293,$6.35,0.007,$11.91,0.032,$0.10,0.001,$0.36,0.004,$3.24,0.044,$15.00,0.376,$16.16,0.317,$46.65,2.112,$18.59,0.357,$92.95,0.958,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,$74.71,0.49,$36.99,0.25,$18.58,0.13,$9.79,0.07,$5.33,0.04,$2.99,0.02,$1.73,0.01,$1.04,0.01,$0.64,0.01,$0.39,0
"$4,800",0.27%,"$1,508.62","$4,750.38",$91.77,0.063,$3.36,0.002,$146.66,0.901,$86.65,0.576,$30.74,0.317,$18.81,0.04,$0.46,0.005,$18.57,0.427,$75.78,1.2,$63.44,2.447,$73.41,0.549,$38.35,0.369,$5.28,0.047,$29.78,0.13,$0.01,0,$113.04,1.325,0.005,0,$121.32,4.66,$75.50,0.613,$7.71,0.04,$0.21,0.003,$1.33,0.021,$29.41,0.296,$6.64,0.008,$12.17,0.032,$0.10,0.001,$0.36,0.004,$3.31,0.045,$15.26,0.381,$16.36,0.321,$47.08,2.126,$19.33,0.361,$93.71,0.963,0.001,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,$75.25,0.49,$37.34,0.26,$18.80,0.14,$9.91,0.07,$5.40,0.04,$3.03,0.02,$1.75,0.02,$1.06,0.01,$0.65,0.01,$0.40,0
"$4,900",0.25%,"$1,523.96","$4,851.77",$93.89,0.064,$3.46,0.002,$147.18,0.904,$87.72,0.582,$31.15,0.32,$19.22,0.041,$0.49,0.005,$19.09,0.439,$76.85,1.206,$64.02,2.46,$74.21,0.554,$38.69,0.372,$5.35,0.047,$30.17,0.13,$0.01,0,$114.58,1.336,0.005,0,$122.20,4.681,$76.81,0.617,$7.90,0.041,$0.23,0.003,$1.34,0.021,$29.82,0.3,$6.85,0.008,$12.37,0.033,$0.10,0.001,$0.39,0.004,$3.37,0.046,$15.72,0.393,$16.60,0.324,$47.42,2.136,$20.16,0.367,$94.42,0.969,0.001,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,$75.62,0.5,$37.59,0.26,$18.94,0.14,$10.01,0.07,$5.46,0.04,$3.07,0.03,$1.78,0.02,$1.08,0.01,$0.67,0.01,$0.41,0
"$5,000",0.24%,"$1,539.05","$4,950.16",$96.34,0.065,$3.71,0.002,$147.75,0.907,$88.52,0.587,$31.52,0.324,$19.72,0.042,$0.50,0.006,$19.40,0.446,$77.68,1.211,$64.48,2.472,$74.85,0.557,$38.94,0.374,$5.40,0.048,$30.51,0.14,$0.01,0,$115.80,1.344,0.005,0,$123.17,4.703,$78.23,0.621,$8.16,0.042,$0.23,0.003,$1.37,0.021,$30.15,0.303,$7.12,0.008,$12.60,0.033,$0.10,0.001,$0.40,0.005,$3.41,0.047,$15.98,0.399,$16.74,0.326,$47.73,2.146,$20.84,0.371,$94.96,0.973,0.001,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,$76.05,0.5,$37.88,0.26,$19.13,0.14,$10.12,0.08,$5.54,0.04,$3.12,0.03,$1.81,0.02,$1.10,0.01,$0.69,0.01,$0.43,0
"$5,100",0.23%,"$1,553.91","$5,049.68",$98.53,0.066,$3.99,0.002,$148.21,0.91,$89.34,0.592,$32.01,0.329,$20.05,0.042,$0.51,0.006,$19.71,0.451,$78.42,1.215,$65.02,2.485,$75.48,0.56,$39.25,0.376,$5.43,0.048,$30.81,0.14,$0.01,0,$117.31,1.355,0.005,0,$124.14,4.724,$79.72,0.624,$8.38,0.042,$0.24,0.003,$1.41,0.022,$30.61,0.307,$7.29,0.008,$12.76,0.034,$0.10,0.001,$0.41,0.005,$3.51,0.047,$16.20,0.404,$16.95,0.329,$48.06,2.156,$21.69,0.376,$95.62,0.978,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,$76.40,0.5,$38.11,0.26,$19.29,0.14,$10.23,0.08,$5.62,0.04,$3.18,0.03,$1.85,0.02,$1.13,0.01,$0.71,0.01,$0.45,0
"$5,200",0.23%,"$1,568.53","$5,147.97",$100.73,0.067,$4.13,0.002,$148.81,0.913,$90.23,0.598,$32.32,0.331,$20.50,0.043,$0.51,0.006,$20.00,0.456,$79.24,1.22,$65.53,2.497,$76.02,0.564,$39.50,0.378,$5.45,0.048,$31.07,0.14,$0.01,0,$119.12,1.366,0.006,0,$125.12,4.747,$81.11,0.629,$8.67,0.043,$0.24,0.003,$1.41,0.022,$30.91,0.31,$7.52,0.008,$12.98,0.034,$0.11,0.001,$0.41,0.005,$3.60,0.048,$16.40,0.408,$17.13,0.332,$48.40,2.165,$22.62,0.382,$96.50,0.984,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,$76.86,0.5,$38.41,0.26,$19.48,0.14,$10.35,0.08,$5.69,0.04,$3.23,0.03,$1.89,0.02,$1.16,0.01,$0.73,0.01,$0.45,0
"$5,300",0.21%,"$1,582.94","$5,249.57",$102.99,0.068,$4.27,0.002,$149.32,0.916,$90.97,0.602,$32.79,0.336,$20.91,0.044,$0.52,0.006,$20.27,0.461,$80.07,1.224,$66.11,2.508,$76.51,0.566,$39.69,0.38,$5.50,0.048,$31.32,0.14,$0.01,0,$120.44,1.375,0.006,0,$126.08,4.766,$82.56,0.633,$8.77,0.043,$0.25,0.003,$1.44,0.022,$31.35,0.313,$7.76,0.009,$13.15,0.035,$0.11,0.001,$0.41,0.005,$3.68,0.049,$16.59,0.412,$17.33,0.334,$48.78,2.174,$23.40,0.386,$97.04,0.989,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,$77.24,0.51,$38.68,0.27,$19.66,0.14,$10.47,0.08,$5.77,0.04,$3.28,0.03,$1.92,0.02,$1.18,0.01,$0.74,0.01,$0.46,0
"$5,400",0.20%,"$1,597.15","$5,351.68",$105.03,0.068,$4.37,0.002,$149.88,0.92,$91.81,0.608,$33.17,0.338,$21.48,0.044,$0.53,0.006,$20.52,0.467,$80.99,1.229,$66.57,2.519,$77.18,0.57,$39.93,0.382,$5.54,0.049,$31.71,0.14,$0.01,0,$121.77,1.383,0.006,0,$126.86,4.785,$83.86,0.637,$8.95,0.043,$0.25,0.003,$1.47,0.022,$31.70,0.316,$8.02,0.009,$13.46,0.036,$0.11,0.001,$0.42,0.005,$3.72,0.05,$16.80,0.417,$17.53,0.337,$49.04,2.182,$24.21,0.391,$97.57,0.993,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,$77.68,0.51,$39.00,0.27,$19.89,0.14,$10.64,0.08,$5.89,0.05,$3.37,0.03,$1.99,0.02,$1.23,0.01,$0.78,0.01,$0.49,0.01
