plan_id,age,premium_single
70285CA8171089,8,260.660000000
70285CA8171089,12,260.660000000
70285CA8171089,11,260.660000000
70285CA8171089,14,260.660000000
70285CA8171089,13,260.660000000
70285CA8171089,16,292.690000000
70285CA8171089,17,301.540000000
70285CA8171089,15,283.830000000
70285CA8171089,19,320.620000000
70285CA8171089,18,311.080000000
70285CA8171089,20,330.510000000
70285CA8171089,21,340.730000000
70285CA8171089,24,340.730000000
70285CA8171089,22,340.730000000
70285CA8171089,23,340.730000000
70285CA8171089,26,348.910000000
70285CA8171089,25,342.090000000
70285CA8171089,27,357.080000000
70285CA8171089,28,370.370000000
70285CA8171089,31,394.900000000
70285CA8171089,30,386.730000000
70285CA8171089,29,381.270000000
70285CA8171089,32,403.080000000
70285CA8171089,33,408.190000000
70285CA8171089,34,413.640000000
70285CA8171089,35,416.370000000
70285CA8171089,36,419.100000000
70285CA8171089,37,421.820000000
70285CA8171089,38,424.550000000
70285CA8171089,39,430.000000000
70285CA8171089,41,443.630000000
70285CA8171089,40,435.450000000
70285CA8171089,42,451.460000000
70285CA8171089,44,476.000000000
70285CA8171089,43,462.370000000
70285CA8171089,47,532.560000000
70285CA8171089,45,492.010000000
70285CA8171089,46,511.090000000
70285CA8171089,48,557.090000000
70285CA8171089,49,581.280000000
70285CA8171089,50,608.540000000
70285CA8171089,51,635.460000000
70285CA8171089,52,665.100000000
70285CA8171089,53,695.080000000
70285CA8171089,55,759.820000000
70285CA8171089,54,727.450000000
70285CA8171089,56,794.920000000
70285CA8171089,57,830.350000000
70285CA8171089,58,868.170000000
70285CA8171089,60,924.740000000
70285CA8171089,59,886.910000000
70285CA8171089,63,1005.830000000
70285CA8171089,61,957.450000000
70285CA8171089,62,978.910000000
70285CA8171089,65,1022.180000000
70285CA8171089,64,1022.180000000
67138CA0510208-33,0,315.990000000
67138CA0510208-33,1,315.990000000
67138CA0510208-33,2,315.990000000
67138CA0510208-33,6,315.990000000
67138CA0510208-33,4,315.990000000
67138CA0510208-33,5,315.990000000
67138CA0510208-33,3,315.990000000
67138CA0510208-33,8,315.990000000
67138CA0510208-33,7,315.990000000
67138CA0510208-33,9,315.990000000
67138CA0510208-33,12,315.990000000
67138CA0510208-33,10,315.990000000
67138CA0510208-33,13,315.990000000
67138CA0510208-33,11,315.990000000
67138CA0510208-33,16,354.450000000
67138CA0510208-33,15,343.810000000
67138CA0510208-33,17,365.090000000
